timestamp_ms,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,filtered_ax,filtered_ay,filtered_az,filtered_gx,filtered_gy,filtered_gz,roll_deg,pitch_deg,yaw_deg,qx,qy,qz,qw,filter_method
124097,-0.12,-0.498,9.79,0.006,0.047,0.008,-0.12,-0.498,9.79,0.006,0.047,0.008,-1.1542376757189317,12.26062101792888,3.7240763194339603,-0.013479318434919459,0.10640286338147932,0.03338059938729579,0.993671210322256,complementary
124197,-0.105,-0.469,9.862,0.009,0.049,0.007,-0.105,-0.469,9.862,0.009,0.049,0.007,-1.134947292187655,12.303394071341472,3.764280288209516,-0.013361168613817202,0.10677472210232372,0.033713673410133184,0.993621671522134,complementary
124297,-0.113,-0.481,9.795,0.007,0.047,0.006,-0.113,-0.481,9.795,0.007,0.047,0.006,-1.1292264817877744,12.334032228964002,3.7986054312041717,-0.013352074383919929,0.10703808825480345,0.03400764160273239,0.9935834389144292,complementary
124397,-0.148,-0.476,9.847,0.006,0.05,0.006,-0.148,-0.476,9.847,0.006,0.05,0.006,-1.1283384070074407,12.384947560140148,3.8329394261239917,-0.01339074590140681,0.10747583418534881,0.03430725630050879,0.9935253621098448,complementary
124497,-0.12,-0.476,9.838,0.004,0.045,0.006,-0.12,-0.476,9.838,0.004,0.045,0.006,-1.1386790371710402,12.40421087230508,3.867361448521835,-0.013518142240074277,0.10763570807830615,0.034616444046475466,0.9934956044082106,complementary
124597,-0.139,-0.508,9.852,0.004,0.047,0.007,-0.139,-0.508,9.852,0.004,0.047,0.007,-1.1524712254582843,12.436212873693746,3.907474097668188,-0.01368455532260579,0.10790422670898497,0.03497892876731097,0.9934515012552197,complementary
124697,-0.086,-0.524,9.826,0.006,0.046,0.007,-0.086,-0.524,9.826,0.006,0.046,0.007,-1.1568072947225758,12.455591273742037,3.947549836472266,-0.013765487450244477,0.1080661075133398,0.03533151078977556,0.9934203098927888,complementary
124797,-0.244,-0.769,10.793,-0.004,0.035,-0.068,-0.244,-0.769,10.793,-0.004,0.035,-0.068,-1.2377748677449423,12.430204314161388,3.5552339338682186,-0.01409086417056249,0.10786988610258637,0.03200498321579726,0.9935498056305473,complementary
124897,-0.302,-0.311,10.13,0.028,0.045,0.087,-0.302,-0.311,10.13,0.028,0.045,0.087,-1.0917935157216523,12.467061295760377,4.051044605719964,-0.013302893258256518,0.10817360856358317,0.03616796915892805,0.9933848103570996,complementary
125006,0.017,-0.347,9.787,-0.035,0.038,0.001,0.017,-0.347,9.787,-0.035,0.038,0.001,-1.324741074433315,12.448260295201495,4.057288682696919,-0.015322590361541917,0.10793603067805906,0.03644066864970759,0.993371586655487,complementary
125107,-0.232,-0.297,10.235,-0.007,0.07,0.029,-0.232,-0.297,10.235,-0.007,0.07,0.029,-1.3714236906606032,12.62468488849927,4.226144072942842,-0.015940694331113465,0.10942719909051445,0.037960466553785314,0.9931417750464763,complementary
